name,tickets,order_success_rate,avg_resolution_time
"Conroy, Ratke and Cormier",15,60.24,0.0
"Powlowski, McClure and Champlin",8,32.63,8.8
Lang-Schiller,150,37.17,5.0
Rutherford-Hoeger,231,22.3,5.8
"Mertz, Nader and Metz",266,7.75,6.1
Crist-Larson,110,87.39,5.6
Hahn-Wisoky,197,56.29,6.4
"MacGyver, Luettgen and Wilderman",32,72.65,5.3
Kshlerin-Botsford,63,79.01,8.6
Beatty-VonRueden,214,2.3,1.1
"DuBuque, Runolfsson and Klein",93,85.78,9.6
Hamill-Nicolas,208,58.66,7.8
West Group,213,46.57,5.9
"Robel, Mayer and Konopelski",202,87.45,7.8
Strosin-Murray,159,11.0,8.1
Lubowitz and Sons,227,86.5,1.1
Quigley and Sons,239,65.73,5.3
Mraz and Sons,35,44.66,1.1
"McCullough, Hegmann and Steuber",74,88.02,5.3
Jacobs Group,147,22.55,7.9
"Kub, Stracke and Heaney",206,19.83,8.7
Senger-Pollich,196,34.09,7.8
"Hettinger, Spinka and Terry",278,91.32,6.8
"Barton, Gutkowski and Kreiger",18,85.54,9.5
Parker Inc,137,84.75,6.3
Kuhn-Reichel,68,81.65,4.8
"Hudson, Treutel and Brakus",94,75.05,2.8
"Douglas, Kautzer and Gulgowski",211,23.85,8.8
Schamberger-Koss,16,91.65,0.9
"Orn, Homenick and Kshlerin",194,34.22,7.6
Morissette LLC,202,8.57,9.8
McClure-Turcotte,129,16.74,2.3
"Johns, Heathcote and Dietrich",245,41.05,9.6
"Weber, McGlynn and Wunsch",165,57.47,8.0
Harber LLC,53,79.93,6.5
Graham Group,5,82.17,7.6
Roberts LLC,205,57.84,0.4
Stiedemann LLC,150,11.64,1.7
Bechtelar-Keebler,300,59.6,9.5
Hessel and Sons,100,7.65,4.2
"Hickle, Huels and Bauch",73,92.75,7.2
Tillman-Olson,269,60.69,5.1
"Bayer, Heathcote and Schinner",64,8.88,3.2
Bartell Group,162,53.98,6.8
"Hagenes, Oberbrunner and Nolan",170,37.87,3.2
Walker-Bernier,209,1.7,6.1
Keebler Group,113,69.84,5.4
"Smitham, Goldner and Emard",67,81.34,3.2
Lesch Group,6,79.1,9.6
"Skiles, Huels and Franecki",151,33.05,6.5
Fadel-Adams,54,29.79,5.9
D'Amore Group,113,19.64,7.8
"Stehr, Tromp and Marquardt",247,94.56,0.8
"Steuber, Koss and Jones",270,20.57,2.2
White and Sons,254,93.86,8.7
"Prosacco, MacGyver and Zieme",290,15.29,0.0
Trantow-Cummings,140,6.65,8.3
Grimes-Weber,2,42.7,6.3
Kihn Group,102,93.62,7.1
Rau and Sons,85,52.97,3.8
Johnston-Sanford,159,43.08,0.7
Deckow LLC,7,33.19,1.0
Ankunding-McDermott,120,71.16,6.0
"Larson, Fritsch and Sporer",283,14.73,0.1
"Reilly, Schuppe and Fritsch",18,85.41,8.1
"Reilly, Hammes and Kautzer",56,73.85,3.5
Erdman LLC,148,46.21,5.1
Kovacek LLC,176,73.57,8.4
Paucek-Hilll,209,17.76,1.2
"Farrell, Berge and Goyette",283,7.18,3.4
Schoen-Torp,136,20.18,1.2
"Hoeger, Hansen and Mann",14,33.11,8.9
"Borer, Steuber and Cummings",22,47.57,8.9
"Cummerata, Simonis and Grady",120,69.89,9.2
"Rogahn, Purdy and Medhurst",231,23.52,2.8
Heaney Group,1,1.9,4.0
"Kulas, Moore and Towne",264,49.43,0.5
Sanford LLC,250,90.13,6.8
Russel-Weissnat,205,26.99,2.8
Schuppe-Witting,123,78.88,7.1
"Schowalter, Smitham and Yost",87,22.45,9.3
Kemmer LLC,230,87.32,1.5
"Abshire, Ledner and Krajcik",279,10.5,5.6
Mante and Sons,271,73.78,9.3
Gulgowski-Herzog,288,91.32,4.2
Marks Inc,4,49.07,0.9
Stamm and Sons,46,65.61,5.6
Terry-Beahan,217,62.06,5.5
White Inc,259,51.76,8.5
Kuhn-Wolf,101,88.78,4.5
Heller LLC,228,98.84,2.8
Feil LLC,135,85.23,1.5
"Hammes, Krajcik and O'Kon",62,15.92,2.5
"Batz, Schneider and Fay",294,72.53,4.4
"Kilback, Rutherford and McCullough",77,53.4,7.6
D'Amore Group,46,8.62,9.5
Lubowitz-Reinger,205,22.49,5.2
Collier-Pollich,228,32.12,0.8
Swift Inc,249,41.53,3.9
"Crona, Toy and Powlowski",74,73.59,2.9
McLaughlin-Hoppe,46,76.19,9.9
Crona-Okuneva,56,97.25,6.6
Abernathy and Sons,175,82.71,7.3
Bartell LLC,69,93.45,9.4
Fritsch-Zulauf,197,20.34,3.3
Robel Group,20,6.84,7.6
"Stracke, Stroman and Wilderman",103,41.08,9.0
Parisian-Lueilwitz,52,88.14,6.2
"Krajcik, Monahan and Hintz",124,28.05,3.1
"Rosenbaum, Botsford and Vandervort",217,50.12,0.4
Walsh and Sons,202,41.93,7.2
Grimes and Sons,240,11.66,5.9
Kozey-Langosh,60,87.27,1.8
Langosh Group,198,11.97,9.1
"Kerluke, Keeling and Stanton",4,88.22,2.1
"Will, Waters and Kshlerin",146,17.44,4.8
"Frami, Herman and Anderson",225,6.08,2.4
Keeling Group,64,71.69,7.0
"Becker, Hettinger and Koch",72,40.94,0.3
Deckow-Oberbrunner,256,67.42,9.4
O'Conner-D'Amore,176,86.18,9.9
"Reinger, Runolfsdottir and Torp",37,86.4,5.5
O'Connell-Welch,236,76.85,9.8
"Yundt, West and McLaughlin",166,84.55,8.5
Bahringer-Kertzmann,246,40.95,8.0
"Rowe, Hilll and Conn",289,7.51,3.6
Corwin-Hoppe,211,13.43,0.1
"Abernathy, Bashirian and Bayer",287,4.74,3.2
Lowe-Armstrong,298,46.29,0.6
Dibbert LLC,210,94.45,7.4
Crona-Towne,107,35.55,2.7
Smith and Sons,39,52.65,2.7
Hilll Inc,285,96.11,6.9
"Purdy, Batz and Ruecker",232,45.49,5.7
"Predovic, Herzog and Quigley",108,77.77,3.5
"Konopelski, Waelchi and Reinger",117,90.29,3.8
Gleason-Klocko,208,67.26,2.6
"Kirlin, Breitenberg and Muller",165,8.04,2.4
Stiedemann-Berge,12,23.02,6.9
Grady Inc,286,1.47,1.9
Grant-Olson,79,82.4,3.2
Crona LLC,99,95.21,9.7
Rogahn-Orn,51,93.39,8.4
Roberts Group,11,67.21,4.1
"Will, Little and Ratke",69,77.15,4.9
Dibbert and Sons,256,55.45,2.1
"Sporer, Nikolaus and Heller",103,57.56,7.2
Hegmann LLC,89,14.73,2.3
"Mante, Conroy and Halvorson",31,2.96,9.2
Parisian LLC,31,64.2,5.2
"Pouros, Gerlach and Homenick",31,84.14,8.4
Morissette-Treutel,186,24.88,3.4
"Terry, Wyman and Bogan",7,66.84,7.4
"Windler, Heathcote and Thiel",80,76.21,5.5
Zemlak-Cruickshank,177,0.6,4.2
Bosco-Ondricka,225,77.73,9.4
Daniel-Douglas,156,39.17,5.7
Hilll-Hane,254,73.1,3.0
"Tremblay, Kunze and Dooley",201,71.03,9.0
Lueilwitz Group,138,27.27,7.0
Hauck LLC,103,8.47,7.1
Hettinger and Sons,101,60.48,7.2
"Heller, Raynor and Larson",65,50.64,6.5
"Cummerata, Welch and Okuneva",20,64.08,0.9
Rempel-Shields,265,77.28,0.4
Sanford Inc,196,15.9,0.5
Grant-Schroeder,260,88.07,5.8
Pfeffer and Sons,249,4.55,2.0
"Murray, Wiza and Price",276,25.91,1.7
Pfannerstill-Roberts,201,66.99,8.0
"DuBuque, Towne and Walker",10,23.36,4.6
Lind-Walter,47,93.81,0.1
O'Connell-Kling,298,68.84,7.9
Jast LLC,78,68.86,1.2
Waters Group,64,6.56,3.4
Mills Inc,261,19.64,3.3
"Hegmann, Rodriguez and Moen",276,99.59,1.9
Mitchell-Muller,87,32.36,2.0
"Stark, Kutch and Weimann",111,19.98,1.0
Green Inc,40,85.51,9.2
Purdy Group,22,58.25,8.7
"Von, Bogan and Mosciski",43,16.34,9.3
Quigley-Simonis,174,21.29,1.2
Zieme Group,83,77.24,8.8
"Sauer, Marvin and Jacobi",74,74.88,1.7
Gibson Inc,273,80.86,3.7
Gutkowski and Sons,208,46.29,3.0
Bartell Group,163,56.55,2.8
Hyatt LLC,215,9.24,2.3
Muller-Schimmel,249,99.82,6.1
"Wilderman, Barton and Hudson",244,5.19,5.8
Ritchie LLC,180,43.54,4.7
"Moen, McLaughlin and Smith",48,1.37,0.4
Volkman Inc,88,90.48,7.0
Harvey and Sons,262,27.03,4.2
Little-Veum,71,98.97,6.4
Dicki and Sons,88,77.33,3.4
Morar-Spencer,154,70.73,3.1
Mueller and Sons,203,96.43,9.1
Bauch-Tremblay,132,82.03,3.4
Ortiz Group,75,72.92,9.3
Kuhic-Romaguera,248,67.61,3.5
Purdy-Adams,9,23.25,6.0
Rutherford and Sons,96,63.47,6.7
"Pfeffer, Leuschke and Witting",37,77.23,0.3
Koss Group,135,37.55,2.2
"Toy, Fay and Sawayn",143,8.27,6.5
Hickle-Renner,170,75.37,6.1
Nolan-Stark,282,27.24,6.8
Stehr-Jacobs,300,94.98,8.6
Morar Group,278,44.21,7.8
"Koss, Prohaska and Ortiz",105,8.66,1.7
"Daniel, Hoeger and Oberbrunner",86,66.19,0.8
"Miller, Mann and Leffler",298,71.49,2.3
Gerhold Group,239,63.49,7.3
"Ruecker, Marvin and Rempel",64,53.75,5.4
Barrows LLC,194,87.97,1.4
"Barton, MacGyver and Lowe",263,30.14,2.8
"Ziemann, Monahan and Gleason",292,42.99,0.8
"Kling, Schuppe and Orn",149,76.47,2.3
Hessel LLC,101,98.92,8.5
Jenkins LLC,48,8.06,8.1
Grimes and Sons,158,56.42,4.5
Stark-Kunde,166,45.88,4.6
"Hahn, Fahey and Satterfield",102,34.45,1.8
Smith-Gusikowski,8,12.04,8.1
Langworth LLC,270,5.2,7.6
"Murphy, Mayert and Grimes",35,28.61,8.4
Kuphal-Aufderhar,121,66.53,4.1
Gulgowski and Sons,248,18.38,6.6
Deckow Inc,239,75.36,2.6
Stanton LLC,245,50.15,7.9
Wyman-Heaney,176,12.13,7.9
Barton-Wiza,105,2.93,4.6
Schamberger-Hermiston,189,14.07,0.7
Upton and Sons,234,45.93,9.1
Farrell Inc,238,62.52,7.9
Mraz LLC,124,85.43,0.7
Spinka Group,95,91.58,5.6
"Carter, Rempel and Crona",226,81.59,7.9
Medhurst-Mayert,269,66.62,4.9
"Stamm, Wuckert and Bartoletti",82,68.74,7.2
McClure-Schuster,211,68.56,5.1
Bradtke Inc,42,40.17,5.1
Runolfsson-Mohr,232,19.39,8.6
Murazik-Lang,231,4.7,6.6
Stiedemann-Vandervort,27,26.74,6.7
Moore and Sons,277,74.16,2.9
Waelchi-Hauck,30,61.01,7.7
"Lind, Adams and Becker",199,49.73,4.7
Gutmann Inc,220,57.68,4.6
Rogahn-Weissnat,234,16.31,9.9
"Skiles, Brown and Jones",53,69.61,2.6
Mueller LLC,138,62.79,2.4
"Steuber, Smitham and Lehner",13,87.96,4.5
Koch and Sons,82,31.62,1.0
"Kerluke, Rutherford and Nienow",159,14.04,2.0
Considine-Wilkinson,102,4.02,1.0
Zboncak Group,171,89.84,8.4
Brekke-Wuckert,10,3.58,6.9
Strosin-Harris,99,65.41,0.1
Howell Group,143,84.69,1.0
Wisozk-Tillman,167,8.71,4.9
"O'Connell, Schmeler and Rodriguez",240,2.8,5.0
"Douglas, Kris and Johnston",151,14.35,5.8
Blick-Koch,266,97.57,1.9
Christiansen-Carroll,88,8.47,1.5
"Lindgren, Franecki and Gutkowski",254,7.13,4.2
Friesen-Nienow,128,71.42,0.8
Koch-Towne,288,70.8,5.5
"Mills, Leuschke and Ratke",24,85.18,1.0
"Aufderhar, Ernser and Muller",21,45.07,3.7
Conroy-Kling,196,75.28,6.9
Yundt and Sons,28,38.73,6.6
"Bayer, Johnson and Shanahan",31,52.21,3.0
Dare-McGlynn,290,24.9,1.4
"Sawayn, Bayer and Beatty",217,76.76,6.5
"Rohan, Dare and Wehner",216,83.93,1.5
"Kreiger, Fay and Auer",66,70.51,6.7
Christiansen-Gutkowski,169,84.98,5.8
Bogisich-Pagac,288,20.48,5.9
Graham Group,270,19.88,2.8
Pfeffer-Spencer,234,79.95,3.8
Hermann-Jacobson,245,81.68,5.6
Corwin LLC,149,14.99,0.6
McGlynn Inc,23,55.66,8.7
"Beatty, Goldner and Reynolds",287,91.2,8.7
"Bergnaum, Block and Kihn",231,85.23,2.8
Von LLC,232,62.31,2.0
Bechtelar-Nolan,189,11.29,2.1
Crooks-White,204,56.13,7.2
"Bernier, Spinka and Nienow",109,9.75,1.0
"Kunde, Schmeler and Borer",180,8.87,3.9
"Vandervort, Senger and Anderson",84,17.37,1.2
"Quigley, Hamill and Beahan",268,5.09,4.7
Little LLC,167,74.39,2.9
"Pfeffer, Strosin and Ortiz",83,6.77,7.8
Gleason-Zieme,227,85.7,9.1
"Langosh, Wilkinson and Hessel",269,90.62,9.8
Schuppe-Hintz,109,64.57,0.2
Hammes-Schoen,100,27.34,5.4
"Lakin, Schroeder and Towne",112,0.03,4.1
Leannon Inc,49,47.17,6.5
Veum Group,280,25.06,9.8
Walker LLC,239,80.86,5.7
"Schneider, Pacocha and Hudson",99,15.21,2.0
"Monahan, Yost and McLaughlin",296,3.66,4.8
O'Kon-Hilpert,173,50.2,8.9
Ankunding Inc,72,41.96,3.8
Moore-Collins,29,76.57,9.9
"Schiller, Roob and Collier",223,96.75,1.0
"Cormier, Toy and Brown",72,32.35,4.6
"Jaskolski, Hirthe and Hoeger",111,49.06,2.9
White-Raynor,93,12.67,4.6
Buckridge Inc,137,15.01,4.3
Pollich-Bashirian,181,79.91,6.2
Christiansen-Larkin,72,3.82,2.7
"Ortiz, VonRueden and Wilkinson",12,74.73,5.6
"Altenwerth, Hamill and Harris",255,92.26,3.5
"Lehner, Russel and Reinger",155,23.15,1.4
Romaguera and Sons,68,9.88,4.3
Gulgowski-O'Kon,283,61.16,2.0
Quitzon-Koch,71,9.01,5.3
Tremblay and Sons,48,61.01,8.5
Bauch-Rosenbaum,55,3.77,9.5
"Bashirian, Goodwin and Johnson",83,16.09,3.5
Kilback-Parisian,70,25.8,8.1
"Hackett, Larson and Gutkowski",94,80.45,9.4
Stroman-Kuhic,113,5.19,6.5
Hackett and Sons,54,44.94,7.0
Bins and Sons,43,66.46,9.2
"Hagenes, Runolfsson and Bogisich",265,24.28,1.2
Waelchi-Kuhic,182,45.12,0.7
"Hessel, Hauck and Rau",250,89.91,8.2
Legros and Sons,119,56.19,6.2
Stoltenberg Inc,127,22.28,1.0
Langworth and Sons,165,71.93,8.2
"Auer, Spencer and McCullough",143,18.29,4.9
Kassulke Group,120,39.26,4.7
"Thiel, Collier and Doyle",218,74.43,2.6
Luettgen-Murray,78,77.68,1.3
Torphy LLC,181,11.28,5.1
"Boyle, Gleichner and O'Kon",20,99.2,1.6
Carter and Sons,245,41.54,2.4
Labadie Group,60,67.07,1.8
Durgan LLC,55,30.57,5.2
Swift Inc,273,9.39,4.0
Glover and Sons,168,21.75,4.9
Wisozk Group,297,46.02,7.9
Gulgowski-Sipes,140,6.38,3.8
Bahringer Group,30,23.91,8.8
Kuhlman Inc,205,23.81,5.5
Medhurst LLC,40,79.06,6.9
"Grant, Murray and O'Conner",234,91.02,1.7
Buckridge Group,147,76.76,0.3
